trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
81,False,"{'a': 0.1, 'e': 0.9916975}",35,0,-9.625084240625164,"{0: 28, 1: 4, 2: 3, 3: 0, 4: 0}",0
82,False,"{'a': 0.1, 'e': 0.9914925}",20,0,-69.0455383767914,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
83,False,"{'a': 0.1, 'e': 0.991285}",25,0,-95.95186350422682,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
84,False,"{'a': 0.1, 'e': 0.9910749999999999}",20,0,-69.13561688343731,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
85,False,"{'a': 0.1, 'e': 0.9908625}",25,0,-169.3847959040825,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
86,False,"{'a': 0.1, 'e': 0.9906475}",20,0,-124.56308388089076,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
87,False,"{'a': 0.1, 'e': 0.99043}",20,0,-71.67621028751812,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
88,False,"{'a': 0.1, 'e': 0.99021}",25,7,-10.973779757909846,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
89,False,"{'a': 0.1, 'e': 0.9899875}",30,0,-227.26815164569902,"{0: 15, 1: 3, 2: 5, 3: 5, 4: 2}",0
90,False,"{'a': 0.1, 'e': 0.9897625}",20,0,-75.18428087572454,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
91,False,"{'a': 0.1, 'e': 0.9895349999999999}",20,0,-67.40867698909155,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
92,False,"{'a': 0.1, 'e': 0.989305}",20,0,-55.25394490106986,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 1}",0
93,False,"{'a': 0.1, 'e': 0.9890725}",30,0,-164.49437461324104,"{0: 18, 1: 5, 2: 4, 3: 0, 4: 3}",0
94,False,"{'a': 0.1, 'e': 0.9888375}",30,0,-218.77805320388345,"{0: 18, 1: 0, 2: 8, 3: 0, 4: 4}",0
95,False,"{'a': 0.1, 'e': 0.9886}",25,0,-166.90841853359572,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
96,False,"{'a': 0.1, 'e': 0.98836}",30,8,-125.2193866224281,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 2}",1
97,False,"{'a': 0.1, 'e': 0.9881175}",20,0,-33.85813098516191,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
98,False,"{'a': 0.1, 'e': 0.9878724999999999}",35,0,-126.26309208795197,"{0: 24, 1: 3, 2: 6, 3: 0, 4: 2}",0
99,False,"{'a': 0.1, 'e': 0.987625}",20,0,-47.053814885702025,"{0: 15, 1: 2, 2: 0, 3: 3, 4: 0}",0
100,False,"{'a': 0.1, 'e': 0.987375}",25,0,-157.98110533438836,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
101,False,"{'a': 0.1, 'e': 0.9871225}",25,0,-95.21210526533751,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
102,False,"{'a': 0.1, 'e': 0.9868675}",35,0,-145.79287335168928,"{0: 25, 1: 2, 2: 4, 3: 2, 4: 2}",0
103,False,"{'a': 0.1, 'e': 0.98661}",20,0,-79.37338605346149,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
104,False,"{'a': 0.1, 'e': 0.98635}",20,0,-84.27006736506912,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
105,False,"{'a': 0.1, 'e': 0.9860874999999999}",20,0,-108.98037220720364,"{0: 10, 1: 0, 2: 8, 3: 2, 4: 0}",0
106,False,"{'a': 0.1, 'e': 0.9858224999999999}",20,0,-70.78025744835058,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
107,False,"{'a': 0.1, 'e': 0.985555}",30,0,-169.23199437131393,"{0: 16, 1: 5, 2: 5, 3: 2, 4: 2}",0
108,False,"{'a': 0.1, 'e': 0.985285}",25,0,-112.13153777240805,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
109,False,"{'a': 0.1, 'e': 0.9850125}",20,0,-52.967371327426356,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
110,False,"{'a': 0.1, 'e': 0.9847374999999999}",20,7,-5.487631723090068,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.1, 'e': 0.9844599999999999}",25,0,-198.67538222449713,"{0: 9, 1: 6, 2: 6, 3: 2, 4: 2}",0
112,False,"{'a': 0.1, 'e': 0.9841799999999999}",35,0,-184.9956391603195,"{0: 22, 1: 3, 2: 5, 3: 3, 4: 2}",0
113,False,"{'a': 0.1, 'e': 0.9838975}",20,0,-140.0367685233937,"{0: 11, 1: 0, 2: 5, 3: 3, 4: 1}",0
114,False,"{'a': 0.1, 'e': 0.9836125}",25,0,-119.93248991511146,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
115,False,"{'a': 0.1, 'e': 0.983325}",30,0,-317.0455086313175,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 6}",0
116,False,"{'a': 0.1, 'e': 0.983035}",25,0,-181.54792659980717,"{0: 12, 1: 1, 2: 9, 3: 1, 4: 2}",0
117,False,"{'a': 0.1, 'e': 0.9827425}",30,20,-38.61202391616391,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 1}",1
